genus,species,common name,body mass (kg),log10 body mass,fr,units,frr,log10fr,habitat,usable,order corrected,Source,diet,speciesname
Panthera,leo,lion,145,2.161368,17,br/min,17,1.23044892,land,yes,carnivora,"Mortola and Lanthier, 2005",c,Panthera leo
Panthera,uncia,snow leopard,37,1.56820172,13,br/min,13,1.11394335,land,yes,carnivora,"Mortola and Lanthier, 2005",c,Panthera uncia
Peromyscus,maniculatus,deer mouse,0.02,-1.69897,181,br/min,181,2.25767857,land,yes,rodentia,"Mortola and Lanthier, 2005",o,Peromyscus maniculatus
Phoca,vitulina,harbor seal,77,1.88649073,6,br/min,6,0.77815125,aquatic,yes,carnivora,"Mortola and Limoges, 2006",c,Phoca vitulina
Phocoena,phocoena,harbor porpoise,52,1.71600334,5.8,br/min,5.8,0.76342799,aquatic,yes,artiodactyla,"Elmegaard, McDonald, and Madsen, 2019; Mortola and Limoges, 2006; Andersen, 1966",c,Phocoena phocoena
Potos,flavus,kinkajou,3.1,0.49136169,21,br/min,21,1.32221929,land,yes,carnivora,"Mortola and Lanthier, 2005",,Potos flavus
Pseudorca,crassidens,false killer whale,475.4,2.67705918,3.66,br/min,3.66,0.56348109,aquatic,yes,artiodactyla,"Fahlman unpublished; Fahlman Fronteris, 2020",c,Pseudorca crassidens
Pteropus,dasymallus,flying fox/ryukyu,0.4,-0.39794,56,br/min,56,1.74818803,land,yes,chiroptera,"Mortola and Lanthier, 2005",,Pteropus dasymallus
Puma,concolor,puma,77,1.88649073,38,br/min,38,1.5797836,land,yes,carnivora,"Mortola and Lanthier, 2005",c,Puma concolor
Rangifer,tarandus,caribou,92,1.96378783,40,br/min,40,1.60205999,land,yes,artiodactyla,"Mortola and Lanthier, 2005",h,Rangifer tarandus
Rattus,norvegicus,rat,0.285714,-0.5440685,112.714,br/min,112.714,2.05197786,land,yes,rodentia,"Mortola and Lanthier, 2005; Crosfill and Widdicombe, 1961",o,Rattus norvegicus
Sus,scrofa,pig,302,2.48000694,39,br/min,39,1.59106461,land,yes,artiodactyla,"Mortola and Lanthier, 2005",o,Sus scrofa
Tragelaphus,oryx,common eland,580,2.76342799,17,br/min,17,1.23044892,land,yes,artiodactyla,"Mortola and Lanthier, 2005",h,Tragelaphus oryx
Trichechus,inunguis,amazonian manatee,89,1.94939001,0.5,br/min,0.5,-0.30103,aquatic,yes,sirenia,"Mortola and Limoges, 2006; Gallivan 1980, Gallivan et al., 1980",h,Trichechus inunguis
Trichechus,manatus,manatee,275,2.43933269,0.7,br/min,0.7,-0.154902,aquatic,yes,sirenia,"Mortola and Limoges, 2006; Andersen, 1966; Scholander and Irving 1941 (3)",h,Trichechus manatus
Tursiops,truncatus,bottlenose dolphins,195.294,2.2906889,3.90769,br/min,3.90769,0.5919201,aquatic,yes,artiodactyla,"Fahlman JEB 2015; Fahlman unpublished, Mortola and Limoges, 2006",c,Tursiops truncatus
Ursus,thibetanus,tibetan bear/asian black bear,85,1.92941893,36,br/min,36,1.5563025,land,yes,carnivora,"Mortola and Lanthier, 2005",c,Ursus thibetanus
Ursus,arctos,brown grizzly bear,274,2.43775056,15,br/min,15,1.17609126,land,yes,carnivora,"Mortola and Lanthier, 2005",c,Ursus arctos
Ursus,maritimus,polar bear,432.5,2.63598611,16,br/min,16,1.20411998,aquatic,yes,carnivora,"Mortola and Lanthier, 2005; Mortola and Limoges, 2006",c,Ursus maritimus
Vicugna,pacos,alpaca,68,1.83250891,15,br/min,15,1.17609126,land,yes,artiodactyla,"Mortola and Lanthier, 2005",,Vicugna pacos
Viverra,civettina,civet,2,0.30103,36,br/min,36,1.5563025,land,yes,carnivora,"Mortola and Lanthier, 2005",,Viverra civettina
Vulpes,lagopus,arctic fox,3.8,0.5797836,63,br/min,63,1.79934055,land,yes,carnivora,"Mortola and Lanthier, 2005",c,Vulpes lagopus
Zalophus,californianus,California Sea Lions,83.2222,1.92023919,6.4,br/min,6.4,0.80617997,aquatic,yes,carnivora,McDonal JEB-2014; Fahlman et al Aquat Mam,c,Zalophus californianus
