genus,species,common name,body mass (kg),log10 body mass,hr,units,hr1,log10hr,habitat,usable,order corrected,Source,,
Pan,troglodytes,chimpanzee,50.2,1.700703717,114,bpm,114,2.056904851,land,yes,primates,"Mortola, 2015; Wassenaar, 1993","Tables 1 and 2, sedated",
Panthera,tigris,siberian tiger,220,2.342422681,82,bpm,82,1.913813852,land,yes,carnivora,"Mortola, 2015; Wassenaar, 1993","Tables 1 and 2, sedated",
Panthera,leo,lion,165,2.217483944,115,bpm,115,2.06069784,land,yes,carnivora,"Mortola, 2015; Wassenaar, 1993","Tables 1 and 2, sedated",
Phoca,vitulina,harbor seal,38.6667,1.587337109,135.618,bpm,135.618,2.132317335,aquatic,yes,carnivora,"Esner, 1965; Fedak, Pullen, and Kanwisher, 1988; Jones 1973; Mortola, 2015; Greaves et al., 2004, 2005; Ponganis J Comp Physiol B 1990",,
Phoca,vitulina,harbor seal,63.375,1.801917972,74.25,bpm,74.25,1.870696458,aquatic,yes,carnivora,"Elliot, JEB-2002, Kaczmarek, JEB-2018",measured on land,
Phocoena,phocoena,harbor porpoise,50.6666667,1.704722334,101.6,bpm,101.6,2.006893708,aquatic,yes,artiodactyla,"Elmegaard et al., 2016; McDonald et al, JEB 2018",,
Pongo,pygmaeus,orangutan,100,2,110,bpm,110,2.041392685,land,yes,primates,"Mortola, 2015; Wassenaar, 1993","Tables 1 and 2, sedated",
Pseudorca,crassidens,false killer whale,525,2.720159303,61,bpm,61,1.785329835,aquatic,yes,artiodactyla,Fahlman unpublished,,
Rattus,norvegicus,brown rat,0.27,-0.568636236,319,bpm,319,2.503790683,land,yes,rodentia,"Mortola, 2015; Mortola and Lanthier, 2004; Merck, 2012",Tables 1 and 2,
Saguinus,oedipus,cotton top tamarin,0.32,-0.494850022,220,bpm,220,2.342422681,land,yes,primates,"Mortola, 2015; Hampton, 1973",Tables 1 and 2,
Suricata,suricatta,meerkat,5,0.698970004,190,bpm,190,2.278753601,land,yes,carnivora,"Mortola, 2015; Wassenaar, 1993","Tables 1 and 2, sedated",
Sus,scrofa,pig,308,2.488550717,95,bpm,95,1.977723605,land,yes,artiodactyla,"Mortola, 2015; Merck, 2012",Tables 1 and 2,
Taxidea,taxus,badger,8.5,0.929418926,115,bpm,115,2.06069784,land,yes,carnivora,"Mortola, 2015; Harlow, 1981",Tables 1 and 2,
Trichechus,manatus,west Indian manatee,350,2.544068044,34,bpm,34,1.531478917,aquatic,yes,sirenia,"Mortola, 2015; Galantsev and Mukhametov, 1984",Tables 1 and 2,
Trichechus,inunguis,amazonian manatee,120,2.079181246,35,bpm,35,1.544068044,aquatic,yes,sirenia,"Mortola, 2015; Gallivan et al., 1986",Tables 1 and 2,
Tursiops,truncatus,bottlenose dolphins,191,2.281033367,71,bpm,71,1.851258349,aquatic,yes,artiodactyla,"Fahlman unpublished; Noren, Cuccurullo, Williams, 2004; Mortola, 2015; Galantsev et al., 1983; Williams et al, 1993; Noren et al., 2012; Mortola, 2015; Galantsev et al., 1983; Williams et al, 1993; Noren et al., 2012",,
Ursus,maritimus,polar bear,230,2.361727836,50,bpm,50,1.698970004,aquatic,yes,carnivora,"Mortola, 2015; Ortsland et al., 1977; Folk et al., 2008",Tables 1 and 2,
Ursus,americanus,black bear,76.6,1.88422877,66,bpm,66,1.819543936,land,yes,carnivora,"Mortola, 2015; Folk, 1967",Tables 1 and 2,
Ursus,arctos,syrian brown bear,250,2.397940009,70,bpm,70,1.84509804,land,yes,carnivora,"Mortola, 2015; Wassenaar, 1993","Tables 1 and 2, sedated",
Vulpes,zerda,fennec,1,0,133,bpm,133,2.123851641,land,yes,carnivora,"Mortola, 2015; Noll-Banholzer, 1979",Tables 1 and 2,
Zalophus,californianus,california sea lion,44.4,1.64738297,74.4353,bpm,74.4353,1.871778943,aquatic,yes,carnivora,"Mortola, 2015; Ponganis et al., 1991; Williams et al., 1991; McDonal JEB-2014; Butler et al., 1992",,
